,y
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,0
1245,1
1246,1
1247,1
1248,0
1249,1
1250,0
1251,0
1252,0
1253,0
1254,1
1255,1
1256,0
1257,0
1258,1
1259,1
1260,0
1261,0
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,0
1270,1
1271,0
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,0
1284,0
1285,1
1286,1
1287,1
1288,0
1289,0
1290,0
1291,1
1292,0
1293,1
1294,0
1295,1
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,0
1303,1
1304,1
1305,1
1306,1
1307,1
1308,0
1309,1
1310,1
1311,0
1312,1
1313,1
1314,0
1315,0
1316,0
1317,1
1318,1
1319,1
1320,0
1321,0
1322,0
1323,1
1324,1
1325,0
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,0
1334,0
1335,0
1336,1
1337,1
1338,1
1339,1
1340,1
1341,0
1342,0
1343,0
1344,1
1345,0
1346,1
1347,0
1348,0
1349,0
1350,1
1351,0
1352,1
1353,1
1354,0
1355,1
1356,1
1357,1
1358,1
1359,1
1360,0
1361,0
1362,1
1363,0
1364,1
1365,0
1366,1
1367,1
1368,1
1369,1
1370,1
1371,0
1372,1
1373,0
1374,0
1375,1
1376,1
1377,1
1378,0
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,0
1390,0
1391,1
1392,1
1393,1
1394,0
1395,0
1396,1
1397,1
1398,1
1399,0
1400,0
1401,0
1402,1
1403,0
1404,0
1405,0
1406,1
1407,0
1408,0
1409,0
1410,0
1411,1
1412,1
1413,1
1414,1
1415,1
1416,0
1417,0
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,0
1425,0
1426,1
1427,1
1428,1
1429,1
1430,1
1431,0
1432,0
1433,0
1434,0
1435,1
1436,0
1437,1
1438,1
1439,0
1440,1
1441,0
1442,1
1443,1
1444,1
1445,0
1446,1
1447,1
1448,1
1449,0
1450,0
1451,1
1452,1
1453,0
1454,1
1455,1
1456,1
1457,0
1458,0
1459,0
1460,0
1461,1
1462,1
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,1
1470,0
1471,0
1472,1
1473,0
1474,1
1475,1
1476,1
1477,1
1478,0
1479,1
1480,0
1481,1
1482,0
1483,1
1484,1
1485,1
1486,0
1487,0
1488,0
1489,1
1490,0
1491,1
1492,0
1493,0
1494,0
1495,1
1496,1
1497,1
1498,1
1499,0
1500,1
1501,1
1502,0
1503,0
1504,0
1505,0
1506,1
1507,1
1508,1
1509,1
1510,1
1511,0
1512,1
1513,0
1514,1
1515,1
1516,0
1517,1
1518,0
1519,0
1520,0
1521,0
1522,1
1523,0
1524,1
1525,1
1526,0
1527,0
1528,1
1529,1
1530,0
1531,1
1532,0
1533,1
1534,1
1535,1
1536,1
